station_id,date,element,value,mflag,qflag,sflag,obstime,unit
AGE00135039,01-01-1901,TMAX,180,,,E,,tenths of °C
AGE00135039,01-01-1901,TMIN,100,,,E,,tenths of °C
AGE00135039,01-01-1901,PRCP,0,,,E,,mm
AGE00147705,01-01-1901,TMAX,162,,,E,,tenths of °C
AGE00147705,01-01-1901,TMIN,132,,,E,,tenths of °C
AGE00147705,01-01-1901,PRCP,0,,,E,,mm
AGE00147706,01-01-1901,TMAX,130,,,E,,tenths of °C
AGE00147706,01-01-1901,TMIN,110,,,E,,tenths of °C
AGE00147706,01-01-1901,PRCP,0,,,E,,mm
AGE00147708,01-01-1901,TMAX,160,,,E,,tenths of °C
AGE00147708,01-01-1901,TMIN,30,,,E,,tenths of °C
AGE00147708,01-01-1901,PRCP,0,,,E,,mm
AGE00147709,01-01-1901,TMAX,70,,,E,,tenths of °C
AGE00147709,01-01-1901,TMIN,30,,,E,,tenths of °C
AGE00147709,01-01-1901,PRCP,28,,,E,,mm
AGE00147711,01-01-1901,TMAX,100,,,E,,tenths of °C
AGE00147711,01-01-1901,TMIN,20,,,E,,tenths of °C
AGE00147711,01-01-1901,PRCP,112,,,E,,mm
AGE00147712,01-01-1901,TMAX,160,,,E,,tenths of °C
AGE00147712,01-01-1901,PRCP,0,,,E,,mm
AGE00147716,01-01-1901,TMAX,180,,,E,,tenths of °C
AGE00147716,01-01-1901,TMIN,80,,,E,,tenths of °C
AGE00147716,01-01-1901,PRCP,0,,,E,,mm
AGE00147719,01-01-1901,TMAX,150,,,E,,tenths of °C
AGE00147719,01-01-1901,TMIN,-40,,,E,,tenths of °C
AGE00147719,01-01-1901,PRCP,0,,,E,,mm
AGE00147720,01-01-1901,TMAX,100,,,E,,tenths of °C
AGE00147720,01-01-1901,TMIN,-30,,,E,,tenths of °C
AGE00147720,01-01-1901,PRCP,0,,,E,,mm
ASN00021096,01-01-1901,PRCP,0,,,a,,mm
ASN00021097,01-01-1901,PRCP,0,,,a,,mm
ASN00021114,01-01-1901,PRCP,0,,,a,,mm
ASN00021122,01-01-1901,PRCP,0,,,a,,mm
ASN00022000,01-01-1901,PRCP,0,,,a,,mm
ASN00022001,01-01-1901,PRCP,0,,,a,,mm
ASN00022002,01-01-1901,PRCP,3,,,a,,mm
ASN00022003,01-01-1901,PRCP,5,,,a,,mm
ASN00022004,01-01-1901,PRCP,8,,,a,,mm
ASN00022006,01-01-1901,PRCP,0,,,a,,mm
ASN00022007,01-01-1901,PRCP,0,,,a,,mm
ASN00022008,01-01-1901,PRCP,0,,,a,,mm
ASN00022009,01-01-1901,PRCP,13,,,a,,mm
ASN00022011,01-01-1901,PRCP,0,,,a,,mm
ASN00022012,01-01-1901,PRCP,0,,,a,,mm
ASN00022013,01-01-1901,PRCP,0,,,a,,mm
ASN00022014,01-01-1901,PRCP,0,,,a,,mm
ASN00022017,01-01-1901,PRCP,0,,,a,,mm
ASN00022018,01-01-1901,PRCP,3,,,a,,mm
ASN00022019,01-01-1901,PRCP,0,,,a,,mm
ASN00022020,01-01-1901,PRCP,0,,,a,,mm
